name,sport,longitude,latitude,opening_hours,contact:phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:country
KeepCool,fitness;workout,6.1091593,49.3608337,Mo-Su 06:00-23:00,,https://www.keepcool.fr/s/salle-de-sport-thionville,Route du Buchel,Thionville,92 bis,57100.0,FR
Studio selíni,yoga,2.2573353,48.914697,,,,,,,,FR
Air Fitness,,0.0710091,48.4321086,,,http://www.airfitness.fr/,Rue de Bretagne,Alençon,153,61000.0,FR
Forest Hill Aquaboulevard,,2.2755394,48.8306746,7:00-0:00,,,,,,,FR
Fitness Park,,6.1024627,44.5659176,,,,,,,,FR
L'Academy,,2.3506754,48.8164435,,,,Place de la Victoire du 8 Mai 1945,Gentilly,1,94250.0,FR
Basic-Fit,,0.6975042,47.4275464,"Mo-Fr 08:00-22:30; Sa,Su 09:00-16:00",,,Route de Paris,Tours,0,37000.0,FR
La Boîte à Plumes,yoga,5.7218087,45.1882289,Mo-Fr 09:30-19:30; Sa 09:00-13:00,,,,,,,FR
Cross training nation,,4.3324113,47.4909059,,,,,,,,FR
Platinium Hybrid Training Center,,2.3720566,48.8313926,,+33 1 45 82 76 58,,,,,,FR
,,3.0704626,45.034219,,,,,,,,FR
Salle de musculation Pailleron,fitness,2.3783863,48.8803928,,,,,,,,FR
,fitness,-0.5101562,49.096664,,,,,,,,FR
L'Appart Fitness,,4.3867307,45.439062,,,,,,,,FR
Fitness Park,,1.4474175,43.6087943,,,http://fitness-park-toulouse.com/,,,,,FR
,fitness,-2.232285,48.5214138,,,,,,,,FR
,fitness,-2.2324037,48.5215839,,,,,,,,FR
,fitness,-2.2323319,48.5216988,,,,,,,,FR
,fitness,-2.2329889,48.5217225,,,,,,,,FR
,fitness,-2.2334133,48.5220161,,,,,,,,FR
Interval,multi,2.2182667,43.5940089,,,,,,,,FR
Movida,,1.4415903,43.6033788,,,,,,,,FR
Happyness Cycling,cycling,1.4421109,43.6020813,Mo-Sa 07:00-21:30,,https://happyness-cycling.com/,Rue Sainte-Ursule,Toulouse,13,31000.0,FR
Lady Concept,,1.4420449,43.6023865,"Mo-Fr 09:00-14:00,16:00-20:00; Sa 10:00-13:00,14:00-18:00",,https://lady-concept.fr/salle-de-sport-toulouse-capitole/,,,,,FR
B&G Sport,,1.4492095,43.6037542,,,,,,,,FR
Body Pilates,,1.4529872,43.6032337,,,http://www.body-pilates.com/,,,,,FR
Studio 12,,1.4499004,43.6038486,"""by appointment""",,https://www.s12-studio.com/,,,,,FR
Euforie Oxygène,,1.4430208,43.6011512,,,https://euforie.fr/,,,,,FR
Euforie Fitness,,1.4466314,43.6020833,,,https://euforie.fr/,,,,,FR
Keep Cool,,3.6978856,43.4011414,,,,Quai de l'Aspirant Herber,Sète,5,34200.0,FR
Lady Fit & form,,-4.097966,48.005057,"Mo-Th 9:00-13:30, 15:30-19:30; Fr 9:00-13:30, 15:30-18:30",+33 2 98 64 23 38,,,,,,FR
Brooklyn Fitboxing,,2.234144,48.8283967,,,,,,,,FR
Trac l'école,,1.4480319,43.5926587,Mo-Fr 17:00-22:30; Sa 10:00-13:00,,,Rue Alfred Duméril,,43,31400.0,FR
Magic Form Bordeaux,,-0.5808429,44.8352782,Tu-Fr 09:00-21:00; Mo 09:00-21:30; Sa 09:00-16:00; Su 09:00-13:00,,https://magicform-bordeaux.fr/,Cours d'Albret,,75,33000.0,FR
Enjoy Studio,yoga,4.8061306,44.1383015,,,https://enjoy-studio.fr/,Rue Victor Hugo,Orange,9,,FR
Parcours de santé de l'Illberg,fitness,7.3164261,47.7300759,,,,,,,,FR
Les Cercles de la Forme,fitness,2.2990387,48.8094867,"Mo-Fr 08:00-22:00; Sa,Su 09:00-19:00",,https://www.cerclesdelaforme.com/,,,,,FR
L'Orange Bleue,,-1.686642,48.1107793,,,https://www.lorangebleue.fr/clubs/rennes/,,,,,FR
Basic-Fit,,2.8293491,49.4273383,,,https://www.basic-fit.com/,,,,,FR
CMG Sports Club,fitness,2.3257901,48.8454318,,,https://www.cmgsportsclub.com/,Rue de Rennes,Paris,149,75006.0,FR
CMG Sports Club,fitness,2.354598,48.8280184,,,https://www.cmgsportsclub.com/,Rue Vandrezanne,Paris,14,75013.0,FR
Wellness,fitness,2.365101,48.8678291,,,,Rue du Faubourg du Temple,Paris,2,75011.0,FR
,fitness,6.2120524,48.6642791,,,,,,,,FR
,fitness,6.2132867,48.6643192,,,,,,,,FR
,fitness,6.209537,48.6650643,,,,,,,,FR
The Loft,,2.1708747,48.8865882,,,https://www.the-loft.fr/,,,,,FR
Fitness Club,,3.2317383,50.1688023,Mo-Su 06:00-23:00,,,Avenue de Paris,Cambrai,1,59400.0,FR
Fitness Park,,2.6681194,48.9535301,06:00-23:00,,https://www.fitnesspark.fr/club/claye-souilly/,Rue Ernest Sarron,,1,,FR
Viv'eden,,2.206985,48.9892319,,,,,,,,FR
Énergie Forme,,2.2079871,48.9912091,,,,,,,,FR
Fitness Park,,-1.6332014,48.1315095,,,https://www.fitnesspark.fr/club/rennes-longs-champs/,Allée Morvan Lebesque,Rennes,,35700.0,FR
Studio Padma,yoga,-0.4137488,48.5574703,,,,,,,,FR
Iron bodyfit,,0.1159386,49.4929434,"Mo-Fr 10:00-14:00,16:00-20:00; Sa 09:00-13:00",,https://ironbodyfit.com/,Boulevard de Strasbourg,Le Havre,123,76600.0,FR
Magic Form,fitness,2.4883777,48.7968232,,,,,,,,FR
Paradox,,2.3000975,48.8138082,"""Sur rendez-vous""",,https://www.paradox.work/,Rue Nicomédès Pascual,Malakoff,4,92240.0,FR
CMG Sports Club,fitness,2.305925,48.8806099,,+33 1 43 80 66 14,,,,,,FR
Body Coach Center,,4.8747294,45.5272923,Mo-Fr 09:00-19:00; Sa 09:00-12:00,,http://bodycoachcenter-vienne.fr/,,,,38200.0,FR
Basic Fit,fitness,7.7002691,48.5899561,,,https://www.basic-fit.com/fr-fr/clubs/basic-fit-strasbourg-rue-alexandre-dumas-60584c4b11c946f097c03d5ffb12d32c.html,Rue Alexandre Dumas,,8,,FR
Fitness Park,,55.5173787,-20.901051,,,,,,,,FR
Slimfit,gymnastics,-1.5565502,47.2123711,"Mo-Fr 09:00-21:00 ""only by appointment - seulement sur rendez-vous""",,,,,,,FR
Espace Yuzu,yoga,2.2897029,48.8350353,,,,,,,,FR
La Pause Fitness,,5.7231876,45.1875365,"PH,Mo-Su 05:00-24:00",,,,,,,FR
Basic-Fit,,2.33266,48.874711,"Mo-Fr 06:00-22:00, Sa 09:00-19:00, Su 09:00-19:00,PH 09:00-16:00",,,,,,,FR
LaFit Studio,,2.1576928,48.8891223,"Mo-We, Fr 09:00-14:00, 17:00-21:00; Th 17:00-21:00; Sa 09:00-14:00",,https://www.lafitstudio.fr/,,,9,,FR
Fitness Park,,1.6786673,48.9904189,,,,,,,,FR
Studio Pilates,,-0.2652719,43.3423748,,,,,,,,FR
Station Nord,,5.0443228,47.3259182,,,,,,10,,FR
Cap Santé,,5.0539873,47.3228464,,,,,,17,,FR
Yoga Samadhi,yoga,1.4515131,43.6042871,,,http://www.yogasamadhi.fr/,Rue de la Colombette,Toulouse,,,FR
Omsajya,yoga,5.737776,45.1805218,,,,,,,,FR
CMG Sports Club,fitness,2.3064993,48.8412887,,+33 1 47 83 99 45,,,,,,FR
L'Olympe,fitness,-0.5297781,46.8441358,,,,,,,,FR
4Fit,,5.4272301,43.2976365,,,,,,,,FR
Domyos,,3.0833848,50.617941,,,,,,,,FR
WellNess,,4.8524991,45.7516682,,,,,,,,FR
L'Appart Fitness,,4.8304062,47.0203596,,,,,,,,FR
Atelier sportif N°,fitness,3.8376832,43.7123253,,,,,,,,FR
Atelier sportif N°,fitness,3.8378727,43.7130488,,,,,,,,FR
Atelier sportif N°,fitness,3.8378861,43.7136323,,,,,,,,FR
,,-3.7511789,47.8580837,,,,,,,,FR
Fight Room Belleville,boxing,2.3741442,48.8732079,,,https://fightroom.fr/,,,,,FR
Magic Form,,2.3380691,48.7953031,"Mo,We,Fr 09:00-21:00; Tu,Th 09:00-22:00; Sa 10:00-17:00; Su 10:00-14:00",,https://www.magicformcachan.fr/,,,,,FR
CMG Sports Club,fitness,2.2970189,48.8471194,,+33 1 45 75 34 00,,,,,,FR
CMG Sports Club,fitness,2.3296439,48.8319417,,,https://www.cmgsportsclub.com/clubs/one/denfert,Avenue du Général Leclerc,Paris,28,75014.0,FR
easyGym Paris Palais Royal,fitness,2.3398249,48.8619441,,+33 1 40 20 03 03,,Rue Saint-Honoré,Paris,,75001.0,FR
CMG Sports Club,fitness,2.3477532,48.8712751,,+33 1 53 34 96 60,,,,,,FR
CMG Sports Club,fitness,2.2847102,48.8805756,,+33 1 40 68 00 21,,,,,,FR
CMG Sports Club,fitness,2.2854033,48.8778535,,+33 1 45 74 14 04,,,,,,FR
CMG Sports Club,fitness,2.3987565,48.846362,,,https://www.cmgsportsclub.com/,Rue des Colonnes du Trône,Paris,16,75012.0,FR
CMG Sports Club,fitness,2.3875235,48.8332742,,,https://www.cmgsportsclub.com/,Rue des Pirogues de Bercy,,,75012.0,FR
CMG Sports Club,fitness,2.2598207,48.8469752,,,https://www.cmgsportsclub.com/,Rue Chanez,Paris,11,75016.0,FR
CMG Sports Club,fitness,2.2425937,48.8927518,,,https://www.cmgsportsclub.com/,Passage de la Coupole,Courbevoie,56,92400.0,FR
Parcours de Santé,fitness,1.63505,47.1545,,,,,,,,FR
Viv'Eden,,2.7881665,49.3885662,Mo-Su 06:00-23:00,,https://www.viveden.com/compiegne.php,Avenue Henri Adnot,,3,,FR
Enjoy by FKC,,2.3806617,48.8927777,,,,,,,,FR
Ritm - Ternes,,2.290025,48.879407,Mo-Fr 07:00-22:00; Sa-Su 09:00-19:00,+33 1 80 49 09 20,,,,,,FR
Les Cercles de la Forme,fitness,2.3279687,48.876168,,,https://www.cerclesdelaforme.com/,Rue Saint-Lazare,Paris,94,75009.0,FR
Les Cercles de la Forme,fitness,2.3689022,48.8637723,,,https://www.cerclesdelaforme.com/,Rue de Malte,Paris,9,75011.0,FR
Les Cercles de la Forme,fitness,2.388118,48.8494268,Mo-Fr 07:00-22:30; Sa-Su 09:00-19:00,,https://www.cerclesdelaforme.com/,Rue du Faubourg Saint-Antoine,Paris,228,75012.0,FR
Les Cercles de la Forme,fitness,2.3299657,48.8401199,,,https://www.cerclesdelaforme.com/,Boulevard Raspail,Paris,226,75014.0,FR
Les Cercles de la Forme,fitness,2.3056215,48.8437095,,+33 1 47 83 92 54,,,,,,FR
Les Cercles de la Forme,fitness,2.2873449,48.8338945,,+33 1 55 76 10 00,,,,,,FR
Les Cercles de la Forme,fitness,2.2741964,48.8692618,,+33 1 45 04 04 03,,,,,,FR
Les Cercles de la Forme,fitness,2.3240417,48.8831594,,,https://www.cerclesdelaforme.com/,,,,,FR
Les Cercles de la Forme,fitness,2.2903897,48.8805835,,+33 1 40 55 00 17,,,,,,FR
Les Cercles de la Forme,fitness,2.3464068,48.8965215,,,https://www.cerclesdelaforme.com/,Rue du Mont Cenis,Paris,127,75018.0,FR
Fitline,,6.6405727,43.2720469,,,,,,24,,FR
L'Orange Bleue,,-1.1878172,48.1211247,Mo-Fr 09:30-21:00; Sa 09:30-12:30,,,,,,,FR
Yoga-Home Center,yoga,-1.2126255,48.1238449,,,,,,,,FR
Neoness,fitness,2.3738749,48.8815466,,,,,,,,FR
,fitness,-0.6722865,44.8735459,,,,,,,,FR
Basic-Fit,,5.5036755,47.1099915,,,,Rue François-Xavier Bichat,,4,,FR
Proform,fitness,7.0903944,43.5732951,,,,,,,,FR
Bodyhit,fitness,-1.6774173,48.1141927,"Mo-Fr 08:30-14:00, 16:00-21:00; Sa 09:00-12:00, 13:00-15:00",+33 7 67 37 95 64,https://bodyhit.fr/bodyhit-club-rennes-hoche/,Rue Hoche,Rennes,15,35000.0,FR
,fitness,4.8420111,46.3060858,,,,,,,,FR
,fitness,4.8420558,46.3060893,,,,,,,,FR
,fitness,4.8421005,46.3060911,,,,,,,,FR
,fitness,4.8407015,46.3088359,,,,,,,,FR
,fitness,4.8407467,46.3089057,,,,,,,,FR
,fitness,4.8408165,46.3090073,,,,,,,,FR
Basic-Fit,,5.6714322,45.1972033,"Mo-Fr 06:00-22:30; Sa,Su 09:00-19:00; PH 09:00-16:00",,,,,,,FR
,fitness,1.9206235,47.8987721,,,,,,,,FR
Beynost Evasion,fitness,4.9939237,45.8328766,"PH,Mo-Su 06:00-23:00",,https://www.beynost-evasion.fr/,Impasse du Sermoraz,,66,,FR
L'Appart Fitness,,2.3939708,48.879237,,,,,,,,FR
L'Orange Bleue,,0.5869908,49.0774056,,,,Rue des Canadiens,,15,,FR
Best Training,fitness,2.2594385,48.8373174,,,,,,,,FR
Body Next,,2.2571385,48.7769107,,,,,,,,FR
CasaYoga,yoga,2.3549541,48.87475,,,http://www.casayoga-paris.fr/,,,,,FR
,fitness,6.9691374,43.5503179,,,,,,,,FR
Fitness Pass,,3.0397559,50.6494965,Mo-Su 06:30-22:30,,,,,,,FR
Basic-Fit,fitness,-0.5321988,44.7883078,Mo-Fr 08:00-23:00; Sa 09:00-17:00; Su 09:00-14:00,,https://www.basic-fit.com/fr-fr/salle-de-sport/basic-fit-villenave-d%60ornon-avenue-du-7eme-art-4029a08aae1b43a283cf0ed46e45b644.htm,Avenue du 7ème Art,Villenave-d'Ornon,4,33140.0,FR
Basic-Fit,,3.2903372,49.8629242,,,,,,,,FR
Océania,fitness,-0.4909987,43.8657873,Mo-Su 7:00-23:00,,https://www.oceania-club.fr/,Rue Gladys,Saint-Pierre-du-Mont,144,40280.0,FR
Wefit.club St Avertin,,0.7171028,47.3657053,"Mo 15:00-20:00; Tu-Th 09:30-13:30, 16:00-20:00; Fr 09:30-13:30, 16:00-18:30; Sa 10:00-12:30",+33 2 47 26 58 27,https://wefit.club/wefitclub-saint-avertin,,,,,FR
M-Coaching,,5.7310459,45.185718,,,,,,,,FR
,boxing,2.33087,48.94484,,,,,,,,FR
,fitness,3.834664,46.906411,,,,,,,,FR
Neoness,,2.2842075,48.845331,Mo-Fr 07:00-22:00; Sa 09:00-19:00; Su 09:00-17:00,,,,,,,FR
,fitness,-0.5310877,44.8389772,,,,,,,,FR
Parcours de santé,fitness,6.781829,43.6324352,,,,,,,,FR
Midtown Studio,,2.2978909,48.8697077,,,,,,,,FR
Basic-Fit,,2.2752815,48.9273823,"Mo-Fr 06:00-22:30; Sa,Su 09:00-19:00; PH 09:00-16:00",,,Avenue de la Redoute,Asnières-sur-Seine,,92600.0,FR
