name,sport,longitude,latitude,opening_hours,contact:phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:country,processed
Studio Fitness,fitness,1.0744155,49.4428936,Mo-Sa 06:00-23:00,,https://www.studio-fitness.fr,Quai de Boisguilbert,Rouen,4,76000.0,FR,True
Basic-Fit,,-2.154715,47.233087,,,,Avenue du Moulin Corbin,Saint-Brevin-les-Pins,,44250.0,FR,True
EPISOD,,2.326812,48.8837878,,,,Rue Biot,Paris,,75017.0,FR,True
Fitness Park,fitness,2.1747829,48.6773455,Mo-Su 06:00-23:00,,https://www.fitnesspark.fr/club/les-ulis/,Avenue des Cévennes,Les Ulis,,91940.0,FR,True
Basic-Fit,,3.0810311,45.7727209,"Mo-Fr 08:00-22:30; Sa,Su 09:00-16:00",,,Rue Ramond,Clermont-Ferrand,,63000.0,FR,True
,,2.5143585,48.7948357,,,,Avenue du Mesnil,Saint-Maur-des-Fossés,16,94210.0,FR,True
Cadence 3 Fitness,,0.3464609,46.588633,Mo-Fr 09:30-21:00; Sa 10:00-18:00,+33549611739,,Allée de la Porée,Poitiers,,86000.0,FR,True
Basic-Fit,,3.6440324,49.5696388,,,,Avenue Charles de Gaulle,Laon,,2000.0,FR,True
Basic-Fit,,7.3170879,47.7932625,Mo-Su 06:00-22:30,+33 3 66 33 33 44,,Rue Claude Debussy,Kingersheim,,68260.0,FR,True
Carré Fitness,,-1.5717316,43.4677671,,,https://www.thalmar.com,Rue de Madrid,Biarritz,80,64200.0,FR,True
Body & Brain,yoga,2.2578859,48.8401487,,,,Rue Michel-Ange,Paris,,75016.0,FR,True
Les Cercles de la Forme,fitness,2.3745296,48.8789056,,,https://www.cerclesdelaforme.com/,Avenue Simón Bolívar,Paris,108,75019.0,FR,True
Basic-Fit,,3.220734,50.1518849,"Mo-Fr 06:00-22:30; Sa,Su 9:00-19:00",,,Avenue de Paris,Cambrai,,59400.0,FR,True
Keep Cool,fitness,7.2696518,43.702645,06:00-23:00,+33 4 93 62 82 18,,Rue du Docteur Albert Balestre,Nizza,,6000.0,FR,True
Neoness,,2.3497634,48.86515,,,,Rue Greneta,Paris,,75002.0,FR,True
Basic-Fit,,1.5268726,44.151032,,,,Rue de Treilhou,Caussade,,82300.0,FR,True
O'sport,,4.8415934,46.7851307,,,,Rue de la Paix,Chalon-sur-Saône,,71100.0,FR,True
KeepCool,,2.1013261,48.8803027,,,,,Marly-le-Roi,,78160.0,FR,True
,fitness;dance,3.8858638,43.6035287,,,,Allée Kléber,Montpellier,,34064.0,FR,True
Waterbike,,2.2483332,48.8965607,Mo-Fr 08:30-21:00; Sa 09:00-20:00; Su 10:00-15:00,+33 1 71 03 46 00,,Rue de Bezons,Courbevoie,,92400.0,FR,True
Basic-Fit,,5.3914841,47.1904021,,,,Rue Victor Plaizant,Auxonne,,21130.0,FR,True
Basic-Fit,multi,4.7423018,44.5320713,,,,Avenue de Gournier,Montélimar,,26200.0,FR,True
Fitness Park,,2.4353087,48.845821,06:00-23:00,,,Rue Robert Giraudineau,Vincennes,12,94300.0,FR,True
Edenya,,-1.5070864,43.4838087,"PH,Mo-Su 06:00-23:00",,,Rue des Barthes,Anglet,,64600.0,FR,True
Fitness Park,,2.3674379,48.8667969,"Mo-Su,PH 00:00-00:00",,,Avenue de la République,Paris,5,75011.0,FR,True
Planet Eden Gym,,2.4735798,48.7991867,,,,Boulevard de Créteil,Saint-Maur-des-Fossés,,94100.0,FR,True
Smith Academy,,-52.3129843,4.9195917,,,,Impasse Takari,Cayenne,,97300.0,FR,True
Game Training Club,,2.4717172,48.8077658,,,https://www.gametrainingclub.fr/,Rue du Pont de Créteil,Saint-Maur-des-Fossés,27,94100.0,FR,True
Karate Club,karate,-52.3317399,4.8498824,,,,Impasse Ménard,Matoury,,97351.0,FR,True
Fitness Park,,2.541531,48.8351776,,,,Boulevard Jean Monnet,Villiers-sur-Marne,,94350.0,FR,True
,,4.5971714,48.7257436,,,,Rue Jacques Dessagne,Vitry-le-François,,51300.0,FR,True
Elancia,fitness,2.041341,48.7805331,Mo-Su 06:00-23:00,,,Boulevard Vauban,Montigny-le-Bretonneux,,78180.0,FR,True
,fitness,1.1768023,49.4022683,,,,Place Marcel Ragot,Franqueville-Saint-Pierre,,76520.0,FR,True
Fitlane,,6.9653387,43.5495975,,,,Contre-allée Francis Tonner,Cannes,,6150.0,FR,True
Ritm - St Germain,fitness,2.3451193,48.8506984,Mo-Fr 07:00-22:00; Sa-Su 09:00-19:00,+33 1 53 10 70 80,,Boulevard Saint-Germain,Paris,,75005.0,FR,True
,fitness,-1.2223906,48.1164668,,,,Impasse du Pavillon,Vitré,,35500.0,FR,True
,fitness,-1.2250138,48.1166638,,,,Voie Verte de Vitré à Moutiers,Vitré,,35500.0,FR,True
Fitness Park,fitness,2.3991721,48.857619,"Mo-Th 06:00-23:00, Fr 06:00-23:00, Sa 06:00-23:00, Su 06:00-23:00",,https://www.fitnesspark.fr/club/paris-rue-de-bagnolet/,Rue de Bagnolet,Paris,65,75020.0,FR,True
Club Fit Center,,1.8544848,50.9481202,Mo-Su 06:00-23:00,,,Boulevard Jacquard,Calais,8,62100.0,FR,True
Neoness,,-1.5986237,47.244328,"Mo,Fr 09:00-22:00; Tu-Th 07:00-22:00; Sa 09:00-19:00; Su 09:00-17:00",,https://www.neoness.fr/clubs/nantes/nantes-route-de-vannes,Route de Vannes,Orvault,230,44700.0,FR,True
La palma zen,yoga,2.3994073,51.0435918,,,,Boulevard de la République - François Mitterrand,Dünkirchen,120,59240.0,FR,True
Espace Jaya,yoga,2.39385,48.8706475,,,,Rue des Pyrénées,Paris,,75020.0,FR,True
Basic-Fit,,1.4807644,43.5377722,Mo-Fr 8:00-22:30; Sa-Su 09:00-16:00,,,Avenue des Crêtes,Ramonville-Saint-Agne,1,31520.0,FR,True
Fitness Park,,7.2845136,43.7115688,Mo-Su 06:00-23:00,,,Boulevard Jean-Baptiste Vérany,Nizza,28,6300.0,FR,True
Basic-Fit,,3.1323966,50.6160689,Mo-Fr 08:00-22:30; Sa-Su 09:00-16:00,,https://www.basic-fit.com/fr-fr/salle-de-sport/basic-fit-villeneuve-d’ascq-boulevard-de-valmy-b233266397794972b16d800848d04558.html,Boulevard de Valmy,Villeneuve-d'Ascq,43,59650.0,FR,True
Basic-Fit,,2.3817476,48.7990816,,,,Boulevard de Stalingrad,Vitry-sur-Seine,,94400.0,FR,True
Aeriforme Fitness,,3.8650493,43.6185129,,,,Avenue du Père Soulas,Montpellier,,34967.0,FR,True
Fit'Teix,fitness,2.4843228,48.8400843,Mo-Th 09:00-21:30; Fr 09:00-21:00; Sa 09:00-18:00; Su 09:00-14:30;,,https://www.fitteix-nogent.fr/,Boulevard Gallieni,Nogent-sur-Marne,17 bis,94130.0,FR,True
Interval,,1.5005248,43.5490441,,,https://www.interval.fr/salles-de-sport/labege/,La Pyrénéenne,Labège,,31670.0,FR,True
InnFine,weightlifting,3.4262879,46.1265774,,,https://innfinevichy.com/,Rue de Paris,Vichy,39,3200.0,FR,True
Coach & Moi,,-0.2380738,44.9153162,,,,Rue Durand,Libourne,,33500.0,FR,True
Anneaux de suspension,fitness,6.9988846,43.56065,,,,Impasse des Cigales,Cannes,,6110.0,FR,True
Barre parallèles,fitness,7.0011706,43.5583325,,,,Boulevard Lord Brougham,Cannes,,6110.0,FR,True
Saut de haies,fitness,7.0007957,43.5588307,,,,Boulevard Lord Brougham,Cannes,,6110.0,FR,True
Keep cool,fitness,3.0735678,45.8902155,Mo-Su 06:00-23:00,,https://www.keepcool.fr/salle-de-sport/riom-mozac/,Avenue Jean Jaurès,Mozac,106,63200.0,FR,True
L'Orange Bleue,,0.1930198,48.0048376,,,,Rue Hippolyte Lecornué,Le Mans,11,72000.0,FR,True
Promenons-nous…,fitness,6.1772889,49.1173178,"Tu-Fr 10:00-12:30,13:30-19:00; Sa 10:00-19:00",,,Goldkopfstraße,Metz,22,57014.0,FR,True
Basic-Fit,,-2.2103851,47.2940667,,,,Rue des Courlis,Trignac,10,44570.0,FR,True
Atlis Club Sarl,,5.3773946,43.2942638,Mo-Su 06:00-21:00,,,Rue du Jeune Anacharsis,Marseille,3,13001.0,FR,True
Easyfit,,6.241996,46.1982163,,+33 4 50 37 09 09,,Rue des Tournelles,Ville-la-Grand,21,74100.0,FR,True
Vita liberté,,3.4753294,43.3114023,,,,Avenue du 11 Novembre 1918,Agde,4 ter,34300.0,FR,True
Physical Center,,2.3820317,48.7977659,Mo-Fr 06:00-23:00; Sa 06:00-19:00; Su 06:00-13:00,,,Boulevard de Stalingrad,Vitry-sur-Seine,61,94400.0,FR,True
,fitness,7.7814089,48.6321878,,,,Chemin de la Souffel,Bischheim,,67800.0,FR,True
,fitness,7.7817481,48.6324561,,,,Chemin de la Souffel,Bischheim,,67800.0,FR,True
,,2.7420916,42.4932245,,,,Rue de las Vermeilles,Céret,,66400.0,FR,True
Form Attitude,,-0.2367344,44.9312498,,,,D 910,Libourne,,33500.0,FR,True
Basic-Fit,,2.3619048,48.823382,,,,Avenue de Choisy,Paris,,75013.0,FR,True
Progress Form,,2.5309451,48.8301284,"Mo-Fr 07:00-22:30; Sa,Su 07:00-18:00",,,Boulevard Jean Monnet,Bry-sur-Marne,,94360.0,FR,True
L'Appart Fitness Chalon Centre,,4.8545694,46.7810956,,,https://www.lappartfitness.com/clubs/salle-de-sport-chalon-sur-saone,Rue au Change,Chalon-sur-Saône,,71100.0,FR,True
New Body Club,,-0.2444021,44.9145822,,,http://newbodyclub.fr/,Place Abel Surchamp,Libourne,,33500.0,FR,True
Fifty Nine Fitness Club,,5.2412474,45.5952281,,,https://www.fiftyninefitnessclub.fr/salle/31-bourgoin-jallieu,Boulevard Irène et Frédéric Joliot-Curie,Bourgoin-Jallieu,,38300.0,FR,True
Basic-Fit,,2.3993005,48.7744448,,,,Boulevard de Stalingrad,Choisy-le-Roi,,94600.0,FR,True
NR Fight club,boxing,2.3688915,48.867758,,,https://www.nrfight.com/club-republique-paris/,Rue de la Folie-Méricourt,Paris,,75011.0,FR,True
KeepCool,fitness;workout,6.1091593,49.3608337,Mo-Su 06:00-23:00,,https://www.keepcool.fr/s/salle-de-sport-thionville,Route du Buchel,Diedenhofen,92 bis,57100.0,FR,True
Studio selíni,yoga,2.2573353,48.914697,,,,Rue Félix Faure,Colombes,,92700.0,FR,True
Air Fitness,,0.0710091,48.4321086,,,http://www.airfitness.fr/,Rue de Bretagne,Alençon,153,61000.0,FR,True
Forest Hill Aquaboulevard,,2.2755394,48.8306746,7:00-0:00,,,Rue du Colonel Pierre Avia,Paris,,75015.0,FR,True
Fitness Park,,6.1024627,44.5659176,,,,Route de la Justice,Gap,,5000.0,FR,True
L'Academy,,2.3506754,48.8164435,,,,Place de la Victoire du 8 Mai 1945,Gentilly,1,94250.0,FR,True
Basic-Fit,,0.6975042,47.4275464,"Mo-Fr 08:00-22:30; Sa,Su 09:00-16:00",,,Rue Marie et Pierre Curie,Tours,0,37000.0,FR,True
La Boîte à Plumes,yoga,5.7218087,45.1882289,Mo-Fr 09:30-19:30; Sa 09:00-13:00,,,Rue Thiers,Grenoble,8,38000.0,FR,True
Cross training nation,,4.3324113,47.4909059,,,,Rue Buffon,Semur-en-Auxois,,21140.0,FR,True
Platinium Hybrid Training Center,,2.3720566,48.8313926,,+33 1 45 82 76 58,,Rue Charcot,Paris,,75013.0,FR,True
,,3.0704626,45.034219,,,,Avenue du Docteur Mallet,Saint-Flour,,15100.0,FR,True
Salle de musculation Pailleron,fitness,2.3783863,48.8803928,,,,Rue Édouard Pailleron,Paris,,75019.0,FR,True
,fitness,-0.5101562,49.096664,,,,Rue d'Aunay,Évrecy,,14210.0,FR,True
L'Appart Fitness,,4.3867307,45.439062,,,,Rue Aristide Briand et de la Paix,Saint-Étienne,,42000.0,FR,True
Fitness Park,,1.4474175,43.6087943,,,http://fitness-park-toulouse.com/,Rue de Bayard,Toulouse,,31000.0,FR,True
,fitness,-2.232285,48.5214138,,,,Rue du Pont,Plancoët,,22130.0,FR,True
,fitness,-2.2324037,48.5215839,,,,Rue du Pont,Plancoët,,22130.0,FR,True
,fitness,-2.2323319,48.5216988,,,,Rue du Pont,Plancoët,,22130.0,FR,True
,fitness,-2.2329889,48.5217225,,,,Sentier des Tanneries,Plancoët,,22130.0,FR,True
,fitness,-2.2334133,48.5220161,,,,Sentier des Tanneries,Plancoët,,22130.0,FR,True
Interval,multi,2.2182667,43.5940089,,,,N 112,Castres,,81100.0,FR,True
Movida,,1.4415903,43.6033788,,,,Rue Mirepoix,Toulouse,,31000.0,FR,True
Happyness Cycling,cycling,1.4421109,43.6020813,Mo-Sa 07:00-21:30,,https://happyness-cycling.com/,Rue Sainte-Ursule,Toulouse,13,31000.0,FR,True
Lady Concept,,1.4420449,43.6023865,"Mo-Fr 09:00-14:00,16:00-20:00; Sa 10:00-13:00,14:00-18:00",,https://lady-concept.fr/salle-de-sport-toulouse-capitole/,Rue Sainte-Ursule,Toulouse,,31000.0,FR,True
B&G Sport,,1.4492095,43.6037542,,,,Rue Maurice Fonvieille,Toulouse,,31000.0,FR,True
Body Pilates,,1.4529872,43.6032337,,,http://www.body-pilates.com/,Rue d'Aubuisson,Toulouse,,31000.0,FR,True
Studio 12,,1.4499004,43.6038486,"""by appointment""",,https://www.s12-studio.com/,Rue Pierre Baudis,Toulouse,,31000.0,FR,True
Euforie Oxygène,,1.4430208,43.6011512,,,https://euforie.fr/,Rue Temponières,Toulouse,,31000.0,FR,True
Euforie Fitness,,1.4466314,43.6020833,,,https://euforie.fr/,Rue de la Pomme,Toulouse,,31000.0,FR,True
Keep Cool,,3.6978856,43.4011414,,,,Quai de l'Aspirant Herber,Sète,5,34200.0,FR,True
Lady Fit & form,,-4.097966,48.005057,"Mo-Th 9:00-13:30, 15:30-19:30; Fr 9:00-13:30, 15:30-18:30",+33 2 98 64 23 38,,Avenue de la France Libre,Quimper,,29000.0,FR,True
Brooklyn Fitboxing,,2.234144,48.8283967,,,,Passage Pierre Bézier,Boulogne-Billancourt,,92100.0,FR,True
Trac l'école,,1.4480319,43.5926587,Mo-Fr 17:00-22:30; Sa 10:00-13:00,,,Rue Alfred Duméril,Toulouse,43,31400.0,FR,True
Magic Form Bordeaux,,-0.5808429,44.8352782,Tu-Fr 09:00-21:00; Mo 09:00-21:30; Sa 09:00-16:00; Su 09:00-13:00,,https://magicform-bordeaux.fr/,Cours d'Albret,Bordeaux,75,33000.0,FR,True
Enjoy Studio,yoga,4.8061306,44.1383015,,,https://enjoy-studio.fr/,Rue Victor Hugo,Orange,9,84100.0,FR,True
Parcours de santé de l'Illberg,fitness,7.3164261,47.7300759,,,,Rue de l'Ill,Brunstatt-Didenheim,,68350.0,FR,True
Les Cercles de la Forme,fitness,2.2990387,48.8094867,"Mo-Fr 08:00-22:00; Sa,Su 09:00-19:00",,https://www.cerclesdelaforme.com/,Avenue Saint-Exupéry,Châtillon,2,92320.0,FR,True
L'Orange Bleue,,-1.686642,48.1107793,,,https://www.lorangebleue.fr/clubs/rennes/,Quai d'Ille et Rance,Rennes,,35000.0,FR,True
Basic-Fit,,2.8293491,49.4273383,,,https://www.basic-fit.com/,Impasse André Royer,Margny-lès-Compiègne,,60280.0,FR,True
CMG Sports Club,fitness,2.3257901,48.8454318,,,https://www.cmgsportsclub.com/,Rue de Rennes,Paris,149,75006.0,FR,True
CMG Sports Club,fitness,2.354598,48.8280184,,,https://www.cmgsportsclub.com/,Rue Vandrezanne,Paris,14,75013.0,FR,True
Wellness,fitness,2.365101,48.8678291,,,,Rue du Faubourg du Temple,Paris,2,75011.0,FR,True
,fitness,6.2120524,48.6642791,,,,Rue de l'Ermitage,Jarville-la-Malgrange,,54140.0,FR,True
,fitness,6.2132867,48.6643192,,,,Rue des Augustins,Laneuveville-devant-Nancy,,54410.0,FR,True
,fitness,6.209537,48.6650643,,,,Rue de l'Ermitage,Jarville-la-Malgrange,9,54140.0,FR,True
The Loft,,2.1708747,48.8865882,,,https://www.the-loft.fr/,Place Jean Charpentier,Rueil-Malmaison,,92500.0,FR,True
Fitness Club,,3.2317383,50.1688023,Mo-Su 06:00-23:00,,,Avenue de Paris,Cambrai,1,59400.0,FR,True
Fitness Park,,2.6681194,48.9535301,06:00-23:00,,https://www.fitnesspark.fr/club/claye-souilly/,Rue Ernest Sarron,Claye-Souilly,1,77410.0,FR,True
Viv'eden,,2.206985,48.9892319,,,,Rue du Général Leclerc,Franconville,,95130.0,FR,True
Énergie Forme,,2.2079871,48.9912091,,,,Rue André Citroën,Franconville,,95130.0,FR,True
Fitness Park,,-1.6332014,48.1315095,,,https://www.fitnesspark.fr/club/rennes-longs-champs/,Rue du Clos Courtel,Cesson-Sévigné,,35510.0,FR,True
Studio Padma,yoga,-0.4137488,48.5574703,,,,Avenue du Docteur Pierre Poulain,Bagnoles-de-l'Orne,,61140.0,FR,True
Iron bodyfit,,0.1159386,49.4929434,"Mo-Fr 10:00-14:00,16:00-20:00; Sa 09:00-13:00",,https://ironbodyfit.com/,Boulevard de Strasbourg,Le Havre,123,76600.0,FR,True
Magic Form,fitness,2.4883777,48.7968232,,,,Avenue Henri Martin,Saint-Maur-des-Fossés,57,94100.0,FR,True
Paradox,,2.3000975,48.8138082,"""Sur rendez-vous""",,https://www.paradox.work/,Rue Nicomédès Pascual,Malakoff,4,92240.0,FR,True
CMG Sports Club,fitness,2.305925,48.8806099,,+33 1 43 80 66 14,,Rue de Chazelles,Paris,,75017.0,FR,True
Body Coach Center,,4.8747294,45.5272923,Mo-Fr 09:00-19:00; Sa 09:00-12:00,,http://bodycoachcenter-vienne.fr/,Rue de la Table Ronde,Vienne,,38200.0,FR,True
Basic Fit,fitness,7.7002691,48.5899561,,,https://www.basic-fit.com/fr-fr/clubs/basic-fit-strasbourg-rue-alexandre-dumas-60584c4b11c946f097c03d5ffb12d32c.html,Rue Alexandre Dumas,Straßburg,8,67201.0,FR,True
Fitness Park,,55.5173787,-20.901051,,,,Rue Maurice Samat,Sainte-Marie,,97438.0,FR,True
Slimfit,gymnastics,-1.5565502,47.2123711,"Mo-Fr 09:00-21:00 ""only by appointment - seulement sur rendez-vous""",,,Rue Kervégan,Nantes,,44007.0,FR,True
Espace Yuzu,yoga,2.2897029,48.8350353,,,,Rue de la Croix Nivert,Paris,,75015.0,FR,True
La Pause Fitness,,5.7231876,45.1875365,"PH,Mo-Su 05:00-24:00",,,Cours Berriat,Grenoble,,38000.0,FR,True
Basic-Fit,,2.33266,48.874711,"Mo-Fr 06:00-22:00, Sa 09:00-19:00, Su 09:00-19:00,PH 09:00-16:00",,,Rue de la Chaussée d'Antin,Paris,,75009.0,FR,True
LaFit Studio,,2.1576928,48.8891223,"Mo-We, Fr 09:00-14:00, 17:00-21:00; Th 17:00-21:00; Sa 09:00-14:00",,https://www.lafitstudio.fr/,Rue du Général Colin,Chatou,9,78400.0,FR,True
Fitness Park,,1.6786673,48.9904189,,,,Rue des Champs Odés,Buchelay,,78200.0,FR,True
Studio Pilates,,-0.2652719,43.3423748,,,,Rue de la Placette,Morlaàs,,64160.0,FR,True
Station Nord,,5.0443228,47.3259182,,,,Rue du Nord,Dijon,10,21000.0,FR,True
Cap Santé,,5.0539873,47.3228464,,,,Rue du Clos Detourbet,Dijon,17,21000.0,FR,True
Yoga Samadhi,yoga,1.4515131,43.6042871,,,http://www.yogasamadhi.fr/,Rue de la Colombette,Toulouse,,31000.0,FR,True
Omsajya,yoga,5.737776,45.1805218,,,,Rue Moyrand,Grenoble,,38100.0,FR,True
