@id,check_date:opening_hours,contact:city,contact:housenumber,contact:phone,contact:postcode,contact:street,leisure,name,official_name,opening_hours,ref:FR:SIRET,website,longitude,latitude,brand,brand:wikidata,contact:facebook,sport,access:covid19,addr:housenumber,addr:street,contact:instagram,contact:youtube,description,description:covid19,email,mobile,old_name,personal_trainer,sauna,start_date,wheelchair,website:booking,source,source:opening_hours,note,addr:city,addr:postcode,phone,sport_1,sport_2,contact:website,name:en,check_date,addr:country,internet_access,wikidata,addr:housename,operator,closed:name,closed:shop,fitness_station,name:ca,survey:date,access,brand:wikipedia,opening_hours:signed,addr:state,contact:email,postal_code,was:name,blind,check_date:currency:XBT,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,branch,swimming_pool,contact:country,addr:place,entrance,operator:type,description:en,brand:website,furniture,note:fr,level,payment:american_express,payment:cash,payment:maestro,payment:mastercard,payment:visa,stroller,wheelchair:entrance_width,wheelchair:step_height,fee,disused:office,ref:FR:NAF,shop,name:fr,contact:fax,ref:FR:SIREN,ref,short_name,source:ref:FR:SIRET,dance:style,dance:teaching,url,was:craft,was:description,direction,information,tourism,disused:tourism,opening_hours:reception,was:shop,not:brand:wikidata,wikipedia,facebook,ref:FR:sport_equip,alt_name,dispensing,fixme,ref:FR:FINESS,height:threshold,disused:leisure,image,air_conditioning,payment:visa_electron,charge,min_age,playground,recycling:computers,source:addr,source:addr:housenumber:ref,source:addr:version,contact:twitter,operator:wikidata,capacity,surface,layer,manufacturer,panoramax,name:br,source:name:br,name:pl,female,amenity,delivery:covid19,organic,payment:apple_pay,payment:diners_club,payment:jcb,mapillary,disused:shop,contact:unit,currency:EUR,payment:debit_cards,hammam,network,ref:FR:CRTA,source:position,lit,opening_hours:covid19,fax,material,model,club,backrest,fitness_station:elliptical_trainer,fitness_station:sit-up,disused,toilets,toilets:access,capacity:covid19,safety:mask:covid19,was:clothes,yoga,smoking,location,ref:vatin,roof:shape,ref:FR:MontfortCommunaute:OC,opening_date,name:de,contact:tiktok,shower,payment:cheque,payment:coins,payment:notes,colour,height,length,width,payment:contactless,payment:credit_cards,payment:google_pay,male,contact:mobile,long_name,leisure:for,healthcare,contact:place,contact:foursquare,contact:linkedin,ele,healthcare:speciality,membership,max_age,wikimedia_commons,inscription,fitness_station:horizontal_bar,fitness_station:horizontal_ladder,baby,disused:fitness_station,operator:ref:FR:SIREN,source:url,parcel_pickup,parcel_receiving,children,cafe,beauty,addr:floor,twitter,minheight,reservation,bar,not:name,was:leisure,route,distance,fitness_station:fly,fitness_station:pull_down,fitness_station:ab_twist,fitness_station:leg_press,fitness_station:leg_stretching,fitness_station:ski_swing,fitness_station:stepper,fitness_station:push-up,outdoor,internet_access:fee,fitness_station:captains_chair,fitness_station:rings,fitness_station:tire,fitness_station:wall_bars,picture,addr:full,ref:FR:DataES,owner,owner:type,source:image,payment:app,payment:cards,payment:mastercard_contactless,payment:visa_debit,bench,strapline,mode,instagram,office,source:date,map_size,map_type,payment:cb,payment:paypal,ref:FR:sport_inst,indoor,outdoor_seating,image:2,opening_hours:url,addr:block,website:fr,community_centre,workshop,building,access_simple
node/597416676,,Paris,26,+33 1 43 59 04 58,75008,Rue de Berri,sports_centre,CMG Sports Club,,,,,2.3058616,48.8732718,,,,fitness,,,,,,,,,,,,,,,,,,,,,,,,https://www.cmgsportsclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/658995618,,,,,,,fitness_centre,KeepCool,,,,,-0.4770546,43.9036729,KeepCool,Q100146251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/660658684,,,,,,,fitness_centre,L'Instant Forme,,,,https://linstantforme.fr/,-0.5007572,43.8913646,,,,,,24 bis,Avenue Aristide Briand,,,,,,,,,,,,,,,,Mont-de-Marsan,40000,+33 6 08 14 61 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/664021845,,,,,,,fitness_centre,Curves - Club de forme pour femmes,,,,,3.8662552,43.5954882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/672956260,,Paris,10,+33 1 48 74 58 49,75009,Rue de la Victoire,sports_centre,CMG Sports Club,,,,,2.3401853,48.8750963,,,,fitness,,,,,,,,,,,,,,,,,,,,,,,,https://www.cmgsportsclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/674049700,,Montpellier,13 bis,,34000,Boulevard des Arceaux,fitness_centre,Keepcool,,"Mo-Fr 08:00-21:00; Sa,Su 10:00-13:00,16:00-19:00",,https://www.keepcool.fr/s/salle-de-sport-montpellier-arceaux,3.8653888,43.6113921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/683438716,,Paris,33,,75015,Rue de l'Église,fitness_centre,Crossfit Lutèce,,Mo-Su 07:00-22:00,,,2.286911,48.8447088,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010,,,,,,,,http://crossfitlutece.com,Crossfit Lutece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/685907646,,Paris,14,,75002,Rue Saint-Augustin,fitness_centre,Dynamo- Spinning,,,,,2.3365607,48.8689539,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,Dynamo- Spinning,2023-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/689144616,,Paris,39,,75002,Boulevard des Capucines,fitness_centre,yoga village Paris,,,,,2.3291514,48.8699276,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,http://yogavillage.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/695805077,,,,,,,fitness_centre,Myway Fitness Valence,,Mo-Su 06:00-23:00,,,4.8843779,44.957701,,,,fitness,,300,Rue des Chabanneries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/700256810,,,,,,,fitness_centre,L'Usine Beaubourg,,Mo-Su 07:00-23:00,,,2.350035,48.8598439,,,,,,16-20,Rue Quincampoix,,,,,,,,,,,yes,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,Paris,75004,,,,,,,FR,wlan,Q22921525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/721443159,,,,,,,fitness_centre,Omm Studio,,,,,2.3666463,48.8578902,,,,,,12-14,Rue Saint-Gilles,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,Paris,75003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/741053770,,,,,,,fitness_centre,L'Appart Fitness,,,,,4.4019207,45.427021,,,,,,86,Cours Fauriel,,,,,,,,,,,,,,,,Saint-Étienne,42100,+33477571731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/775871877,,,,,,,fitness_centre,Fitness Park,,,,,3.1359037,50.7391057,Fitness Park,Q102351191,,,,,,,,,,,,,,,,yes,,survey,,,,,,,,,,2024-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/830000570,,,,,,,fitness_centre,Ovalie Fitness,,,,,1.3293751,43.6119275,,,,fitness,,30 bis,Place du Val d'Aran,,,,,,,,,,,,,,,,,31770,,,,,,,,,,L'Orange Bleue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/837732361,,,,,,,fitness_centre,Fitness Park,,"Mo-Su,PH 08:00-23:00",,,2.2920216,48.9625482,Fitness Park,Q102351191,,fitness,,163,Avenue Joffre,,,,,,,,,,,,,,,,Épinay-sur-Seine,93800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/840927418,,Paris,79,,75008,Rue La Boétie,fitness_centre,Dynamo Spinning,,,,,2.309139,48.872063,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,Dynamo Spinning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
